id;hoehe;breite;laenge;ort
335;3640;24;52.4124;7.064;Nordhorn-Blanke
336;3660;485;50.3601;6.8697;Nürburg-Barweiler
337;3667;368;49.4258;11.2538;Nürnberg-Netzstall
338;3668;314;49.503;11.0549;Nürnberg
339;3679;518;47.6187;12.1666;Kiefersfelden-Gach
340;3705;480;48.3147;8.5735;Oberndorf/Neckar-Aistaig
341;3722;484;48.2443;11.5528;Oberschleißheim
342;3730;806;47.3986;10.276;Oberstdorf
343;3734;230;49.128;9.3525;Obersulm-Willsbach
344;3739;596;49.4521;12.4366;Oberviechtach
345;3761;275.9;49.207;9.5175;Öhringen
346;3791;11;53.1763;8.1824;Oldenburg
347;3811;150;51.296;13.0928;Oschatz
348;3815;95.4;52.2553;8.0534;Osnabrück
349;3821;246;51.0873;11.9292;Osterfeld
350;3836;312;50.4538;10.2211;Ostheim v.d. Rhön
351;3857;885;47.6362;10.3892;Oy-Mittelberg-Petersthal
352;3867;7;53.0643;7.4814;Papenburg
353;3875;549;49.151;11.6896;Parsberg/Oberpfalz-Eglwang
354;3878;327;48.5807;13.4152;Passau-Maierhof
355;3897;1;54.0893;10.8773;Pelzerhaken
356;3904;152;49.5356;6.3804;Perl-Nennig
357;3915;145;51.9893;13.3608;Petkus
358;3925;333;48.9329;8.6973;Pforzheim-Ispringen
359;3927;630;47.9344;9.2869;Pfullendorf
360;3939;385;49.1912;7.5879;Pirmasens
361;3946;386;50.4819;12.13;Plauen
362;3975;522;49.4777;11.5357;Pommelsbrunn-Mittelburg
363;3987;81;52.3813;13.0622;Potsdam
364;4024;39.5;54.3643;13.4771;Putbus
365;4032;142;51.7954;11.1319;Quedlinburg
366;4036;204;51.3895;11.5414;Querfurt-Mühle Lodersleben
367;4039;13;53.7331;9.8776;Quickborn
368;4053;407;47.7458;9.0007;Radolfzell-Markelfingen
369;4063;40.5;52.4461;8.5906;Rahden-Kleinendorf
370;4077;114;48.8471;8.1869;Rastatt
371;4094;440;47.8062;9.6206;Weingarten, Kr. Ravensburg
372;4104;365.4;49.0424;12.1021;Regensburg
373;4149;764;50.5602;13.2222;Marienberg-Reitzenhain
