id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
2252,2015-08-01,2015-08-31,28.5,21,13.1,1.61,267.7,71.2,37.2,6.1,12.9,43.1
2486,2015-06-01,2015-06-30,23.5,17.4,11.1,-999,-999,46.5,33.4,6.8,-999,13
2486,2015-07-01,2015-07-31,28.4,21.5,14.8,-999,-999,21.6,37.7,6.5,-999,8.5
2486,2015-08-01,2015-08-31,27.5,20.6,14.5,-999,-999,38.2,38.4,8.2,-999,10.1
2597,2015-06-01,2015-06-30,22.6,16.8,11.1,2.2,200,43.7,31.5,7.2,16,11.8
2597,2015-07-01,2015-07-31,27.7,20.8,13.9,-999,265.5,40.3,38.5,6.1,23.2,14
2597,2015-08-01,2015-08-31,28.1,20.9,14.2,2.23,255.8,44.4,38.4,8.8,17.3,16.9
3044,2015-06-01,2015-06-30,20.5,15.3,8.9,-999,210.3,33.8,31.2,3.6,-999,10
3044,2015-07-01,2015-07-31,23.8,18.4,13.1,-999,219.6,104.4,35.7,7.2,-999,15.7
3044,2015-08-01,2015-08-31,24.6,18.9,13.1,-999,220,107.5,33.3,7,-999,46.7
3137,2015-06-01,2015-06-30,23,17.7,12.5,-999,-999,42.1,32.3,8.3,-999,8.7
3137,2015-07-01,2015-07-31,28.1,22,16.4,-999,-999,11.2,37.7,9.7,-999,2.7
3137,2015-08-01,2015-08-31,27.5,21.5,16.2,-999,-999,33.1,38.4,12.2,-999,5.9
3164,2015-06-01,2015-06-30,22.7,16.5,9.6,-999,-999,25.1,32.3,4.3,-999,7.4
3164,2015-07-01,2015-07-31,27.1,20.1,13.1,-999,-999,68.7,38.1,5,-999,18.9
3164,2015-08-01,2015-08-31,26.9,19.9,13.7,-999,-999,76.6,34.7,9.5,-999,31.3
3196,2015-06-01,2015-06-30,21,15.3,9.1,2.1,197.2,23.6,28,5,15.2,4.6
3196,2015-07-01,2015-07-31,24,18.2,12.4,2.26,221.2,77.4,36.8,6.8,18.6,10.8
3196,2015-08-01,2015-08-31,26,19.7,13.2,1.87,252.2,67.7,33.1,6,16.7,21.9
3257,2015-06-01,2015-06-30,24.7,17.9,11.3,-999,-999,38.9,33.8,7.7,-999,11.3
3257,2015-07-01,2015-07-31,29.7,22.1,14,-999,-999,18.5,39.2,6,-999,3.4
3257,2015-08-01,2015-08-31,30,21.8,14.5,-999,-999,40.3,40.2,8.5,-999,12.9
3402,2015-06-01,2015-06-30,20.4,15,9.6,1.93,174,79.8,29.4,5.2,13.9,13.4
3402,2015-07-01,2015-07-31,25.7,19.3,12.5,-999,275.2,24.5,33.6,4.5,19.9,7.5
3402,2015-08-01,2015-08-31,24.9,18.5,12.6,1.87,216.6,62.5,33.6,7,14.5,28.7
3946,2015-06-01,2015-06-30,21.4,15.5,9.6,1.97,176.3,63.3,33.1,3.6,14.1,14.9
3946,2015-07-01,2015-07-31,26.7,20,12.9,2.1,252.5,40.6,36.4,5.6,25.8,7
3946,2015-08-01,2015-08-31,27.4,20.5,13.8,1.97,233.7,63.4,37.8,7.1,18,15
4104,2015-06-01,2015-06-30,24.2,17.6,11.8,1.97,202.7,89,32.8,6.8,15.5,45.8
4104,2015-07-01,2015-07-31,29.7,21.9,14.6,2.13,284.2,8.6,36.9,7.2,19.2,1.9
4104,2015-08-01,2015-08-31,30,21.7,14.5,-999,263.2,-999,37.8,8.8,19.1,12.8
5064,2015-06-01,2015-06-30,22.5,16.8,10.2,-999,-999,48,33,5.6,-999,24.2
5064,2015-07-01,2015-07-31,25.3,19.5,14.1,-999,-999,47.3,37.3,6.4,-999,11.6
5064,2015-08-01,2015-08-31,25.5,19.5,13.8,-999,-999,91.9,34.1,8.8,-999,17.5
5229,2015-06-01,2015-06-30,22.2,16,9.5,-999,-999,80.4,30.4,3.3,-999,30.4
5229,2015-07-01,2015-07-31,27.1,19.8,11.9,-999,-999,101.3,34.5,3.8,-999,51.5
5229,2015-08-01,2015-08-31,26.1,18.6,11.8,-999,-999,43.1,34.3,5.6,-999,18.5
5440,2015-06-01,2015-06-30,21.9,16.6,11.1,2.17,200.7,66.4,31.2,6.8,14.3,21.2
5440,2015-07-01,2015-07-31,27.5,20.9,13.8,2.42,281.5,15.3,35.6,6.3,19.3,4.4
5440,2015-08-01,2015-08-31,27.9,20.9,14,2.13,250.5,33,36.8,8.2,16.9,13.6
5797,2015-06-01,2015-06-30,21.1,15.6,10,2,-999,92,32.4,4.3,15.4,19.5
5797,2015-07-01,2015-07-31,26.2,20,13.6,2.48,-999,56.2,35.3,6.5,19.6,10.8
5797,2015-08-01,2015-08-31,27.7,20.9,14.3,2.06,-999,66,38.2,8,19.8,25.1
5906,2015-06-01,2015-06-30,24.7,18.8,12.6,2.17,213.8,65,33.2,8.7,14.3,14.7
5906,2015-07-01,2015-07-31,29.5,22.8,15.8,2.26,266,38.9,38.8,7.7,18.5,13.7
5906,2015-08-01,2015-08-31,28.9,22,15.8,1.97,234.2,52.4,39.8,10.2,16.3,14.9
5335,2015-06-01,2015-06-30,21.3,15.7,9.6,-999,-999,37.1,30.9,4.3,-999,13.2
5335,2015-07-01,2015-07-31,25.8,19.5,13.3,-999,-999,72.2,36.7,6.9,-999,23.4
5335,2015-08-01,2015-08-31,26.2,19.8,13.6,-999,-999,43.5,34.5,8.4,-999,18.9
867,2015-06-01,2015-06-30,21.4,16.1,10.4,2.33,185.5,55.8,30,4.3,14.3,12.1
867,2015-07-01,2015-07-31,26.8,20.1,13.4,-999,262.3,-999,37.1,4.5,21,35
867,2015-08-01,2015-08-31,27,20.7,14.5,2.26,251.1,44.6,37.8,8.1,15.8,11
1580,2015-06-01,2015-06-30,23.8,17.9,12.1,-999,220,81.1,33.5,7.6,28.2,53.2
1580,2015-07-01,2015-07-31,28.4,21.9,15.6,2.35,267.2,13.5,38,8.2,19.5,4.4
